Well_permit_num	Operator	County	Municipality	Latitude	Longitude	Start_date	Prod_mcfe_model_na	Prod_period_max	Oil_bbl_model	Gas_mcf_model	Gas_mcf_model_cumsum	Oil_bbl_model_cumsum	Date_model	Production_date_model	Prod_mcfe	Prod_mcfe_model	Gas_mcf_model_na	Gas_mcf_model_zero	Oil_bbl_model_zero	Prod_mcfe_model_zero	Prod_period
027-21452	EXCO RESOURCES PA INC	CENTRE	BURNSIDE	41.091134	-77.969332	2009-07-01	889.1891301	76	0	889.1891301	407904.2452	0	2018-12-01	2018-12-01	889.1891301	889.1891301	889.1891301	889.1891301	0	889.1891301	113
027-21452	EXCO RESOURCES PA INC	CENTRE	BURNSIDE	41.091134	-77.969332	2009-07-01	657.8171653	76	0	657.8171653	417001.455	0	2019-12-01	2019-12-01	657.8171653	657.8171653	657.8171653	657.8171653	0	657.8171653	125
027-21453	EXCO RESOURCES PA INC	CENTRE	BURNSIDE	41.091156	-77.969368	2009-07-01	403.2881424	76	0	403.2881424	102198.8642	0	2016-12-01	2016-12-01	403.2881424	403.2881424	403.2881424	403.2881424	0	403.2881424	89
027-21453	EXCO RESOURCES PA INC	CENTRE	BURNSIDE	41.091156	-77.969368	2009-07-01	298.3503212	76	0	298.3503212	106324.867	0	2017-12-01	2017-12-01	298.3503212	298.3503212	298.3503212	298.3503212	0	298.3503212	101
027-21453	EXCO RESOURCES PA INC	CENTRE	BURNSIDE	41.091156	-77.969368	2009-07-01	220.7179057	76	0	220.7179057	109377.2609	0	2018-12-01	2018-12-01	220.7179057	220.7179057	220.7179057	220.7179057	0	220.7179057	113
027-21453	EXCO RESOURCES PA INC	CENTRE	BURNSIDE	41.091156	-77.969368	2009-07-01	163.2858772	76	0	163.2858772	111635.4049	0	2019-12-01	2019-12-01	163.2858772	163.2858772	163.2858772	163.2858772	0	163.2858772	125
047-23983	EOG RESOURCES INC	ELK	JAY	41.350814	-78.539714	2009-07-01	1068.461071	76	0	1068.461071	241016.0919	0	2016-12-01	2016-12-01	1068.461071	1068.461071	1068.461071	1068.461071	0	1068.461071	89
047-23983	EOG RESOURCES INC	ELK	JAY	41.350814	-78.539714	2009-07-01	790.4415488	76	0	790.4415488	251947.4159	0	2017-12-01	2017-12-01	790.4415488	790.4415488	790.4415488	790.4415488	0	790.4415488	101
047-23983	EOG RESOURCES INC	ELK	JAY	41.350814	-78.539714	2009-07-01	584.7642547	76	0	584.7642547	260034.3486	0	2018-12-01	2018-12-01	584.7642547	584.7642547	584.7642547	584.7642547	0	584.7642547	113
047-23983	EOG RESOURCES INC	ELK	JAY	41.350814	-78.539714	2009-07-01	432.6053383	76	0	432.6053383	266017.0163	0	2019-12-01	2019-12-01	432.6053383	432.6053383	432.6053383	432.6053383	0	432.6053383	125
117-20264	EAST RESOURCES INC	TIOGA	CHARLESTON	41.786842	-77.18475	2009-07-01	2549.942587	76	0	2549.942587	1569391.185	0	2016-12-01	2016-12-01	2549.942587	2549.942587	2549.942587	2549.942587	0	2549.942587	89
117-20264	EAST RESOURCES INC	TIOGA	CHARLESTON	41.786842	-77.18475	2009-07-01	1886.433322	76	0	1886.433322	1595479.406	0	2017-12-01	2017-12-01	1886.433322	1886.433322	1886.433322	1886.433322	0	1886.433322	101
117-20264	EAST RESOURCES INC	TIOGA	CHARLESTON	41.786842	-77.18475	2009-07-01	1395.572863	76	0	1395.572863	1614779.327	0	2018-12-01	2018-12-01	1395.572863	1395.572863	1395.572863	1395.572863	0	1395.572863	113
117-20264	EAST RESOURCES INC	TIOGA	CHARLESTON	41.786842	-77.18475	2009-07-01	1032.437031	76	0	1032.437031	1629057.301	0	2019-12-01	2019-12-01	1032.437031	1032.437031	1032.437031	1032.437031	0	1032.437031	125
117-20265	EAST RESOURCES INC	TIOGA	CHARLESTON	41.786889	-77.184684	2009-07-01	2090.107531	76	0	2090.107531	997279.0557	0	2016-12-01	2016-12-01	2090.107531	2090.107531	2090.107531	2090.107531	0	2090.107531	89
117-20265	EAST RESOURCES INC	TIOGA	CHARLESTON	41.786889	-77.184684	2009-07-01	1546.249909	76	0	1546.249909	1018662.748	0	2017-12-01	2017-12-01	1546.249909	1546.249909	1546.249909	1546.249909	0	1546.249909	101
117-20265	EAST RESOURCES INC	TIOGA	CHARLESTON	41.786889	-77.184684	2009-07-01	1143.90707	76	0	1143.90707	1034482.284	0	2018-12-01	2018-12-01	1143.90707	1143.90707	1143.90707	1143.90707	0	1143.90707	113
117-20265	EAST RESOURCES INC	TIOGA	CHARLESTON	41.786889	-77.184684	2009-07-01	846.2560781	76	0	846.2560781	1046185.489	0	2019-12-01	2019-12-01	846.2560781	846.2560781	846.2560781	846.2560781	0	846.2560781	125
117-20281	EAST RESOURCES INC	TIOGA	RICHMOND	41.781425	-77.130154	2009-07-01	14080.98946	76	0	14080.98946	2800685.31	0	2016-12-01	2016-12-01	14080.98946	14080.98946	14080.98946	14080.98946	0	14080.98946	89
117-20281	EAST RESOURCES INC	TIOGA	RICHMOND	41.781425	-77.130154	2009-07-01	10417.03757	76	0	10417.03757	2944746.58	0	2017-12-01	2017-12-01	10417.03757	10417.03757	10417.03757	10417.03757	0	10417.03757	101
117-20281	EAST RESOURCES INC	TIOGA	RICHMOND	41.781425	-77.130154	2009-07-01	7706.466364	76	0	7706.466364	3051322.305	0	2018-12-01	2018-12-01	7706.466364	7706.466364	7706.466364	7706.466364	0	7706.466364	113
117-20281	EAST RESOURCES INC	TIOGA	RICHMOND	41.781425	-77.130154	2009-07-01	5701.200888	76	0	5701.200888	3130166.433	0	2019-12-01	2019-12-01	5701.200888	5701.200888	5701.200888	5701.200888	0	5701.200888	125
015-20093	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.724156	-76.811483	2009-08-01	7407.227219	75	0	7407.227219	1371801.715	0	2016-12-01	2016-12-01	7407.227219	7407.227219	7407.227219	7407.227219	0	7407.227219	88
015-20093	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.724156	-76.811483	2009-08-01	5479.825435	75	0	5479.825435	1447584.355	0	2017-12-01	2017-12-01	5479.825435	5479.825435	5479.825435	5479.825435	0	5479.825435	100
015-20093	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.724156	-76.811483	2009-08-01	4053.944332	75	0	4053.944332	1503647.93	0	2018-12-01	2018-12-01	4053.944332	4053.944332	4053.944332	4053.944332	0	4053.944332	112
015-20093	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.724156	-76.811483	2009-08-01	2999.085435	75	0	2999.085435	1545123.451	0	2019-12-01	2019-12-01	2999.085435	2999.085435	2999.085435	2999.085435	0	2999.085435	124
015-20169	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.734939	-76.792772	2009-08-01	14347.46264	75	0	14347.46264	3885302.9	0	2016-12-01	2016-12-01	14347.46264	14347.46264	14347.46264	14347.46264	0	14347.46264	88
015-20169	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.734939	-76.792772	2009-08-01	10614.17294	75	0	10614.17294	4032090.432	0	2017-12-01	2017-12-01	10614.17294	10614.17294	10614.17294	10614.17294	0	10614.17294	100
015-20169	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.734939	-76.792772	2009-08-01	7852.306016	75	0	7852.306016	4140683.03	0	2018-12-01	2018-12-01	7852.306016	7852.306016	7852.306016	7852.306016	0	7852.306016	112
015-20169	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.734939	-76.792772	2009-08-01	5809.092251	75	0	5809.092251	4221019.23	0	2019-12-01	2019-12-01	5809.092251	5809.092251	5809.092251	5809.092251	0	5809.092251	124
015-20170	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.747	-76.813317	2009-08-01	6688.234441	75	0	6688.234441	2436661.338	0	2016-12-01	2016-12-01	6688.234441	6688.234441	6688.234441	6688.234441	0	6688.234441	88
015-20170	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.747	-76.813317	2009-08-01	4947.918583	75	0	4947.918583	2505088.031	0	2017-12-01	2017-12-01	4947.918583	4947.918583	4947.918583	4947.918583	0	4947.918583	100
015-20170	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.747	-76.813317	2009-08-01	3660.442606	75	0	3660.442606	2555709.718	0	2018-12-01	2018-12-01	3660.442606	3660.442606	3660.442606	3660.442606	0	3660.442606	112
015-20170	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.747	-76.813317	2009-08-01	2707.97505	75	0	2707.97505	2593159.36	0	2019-12-01	2019-12-01	2707.97505	2707.97505	2707.97505	2707.97505	0	2707.97505	124
015-20173	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.734944	-76.792518	2009-08-01	1255.171217	75	0	1255.171217	3471515.109	0	2016-12-01	2016-12-01	1255.171217	1255.171217	1255.171217	1255.171217	0	1255.171217	88
015-20173	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.734944	-76.792518	2009-08-01	928.5686743	75	0	928.5686743	3484356.647	0	2017-12-01	2017-12-01	928.5686743	928.5686743	928.5686743	928.5686743	0	928.5686743	100
015-20173	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.734944	-76.792518	2009-08-01	686.9499327	75	0	686.9499327	3493856.745	0	2018-12-01	2018-12-01	686.9499327	686.9499327	686.9499327	686.9499327	0	686.9499327	112
015-20173	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.734944	-76.792518	2009-08-01	508.2017337	75	0	508.2017337	3500884.865	0	2019-12-01	2019-12-01	508.2017337	508.2017337	508.2017337	508.2017337	0	508.2017337	124
015-20174	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.73495	-76.79261	2009-08-01	15129.22119	75	0	15129.22119	4283296.886	0	2016-12-01	2016-12-01	15129.22119	15129.22119	15129.22119	15129.22119	0	15129.22119	88
015-20174	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.73495	-76.79261	2009-08-01	11192.51356	75	0	11192.51356	4438082.515	0	2017-12-01	2017-12-01	11192.51356	11192.51356	11192.51356	11192.51356	0	11192.51356	100
015-20174	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.73495	-76.79261	2009-08-01	8280.159188	75	0	8280.159188	4552592.062	0	2018-12-01	2018-12-01	8280.159188	8280.159188	8280.159188	8280.159188	0	8280.159188	112
015-20174	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.73495	-76.79261	2009-08-01	6125.615643	75	0	6125.615643	4637305.587	0	2019-12-01	2019-12-01	6125.615643	6125.615643	6125.615643	6125.615643	0	6125.615643	124
015-20175	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.746989	-76.813256	2009-08-01	6315.174873	75	0	6315.174873	2056505.377	0	2016-12-01	2016-12-01	6315.174873	6315.174873	6315.174873	6315.174873	0	6315.174873	88
015-20175	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.746989	-76.813256	2009-08-01	4671.931193	75	0	4671.931193	2121115.334	0	2017-12-01	2017-12-01	4671.931193	4671.931193	4671.931193	4671.931193	0	4671.931193	100
015-20175	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.746989	-76.813256	2009-08-01	3456.268672	75	0	3456.268672	2168913.419	0	2018-12-01	2018-12-01	3456.268672	3456.268672	3456.268672	3456.268672	0	3456.268672	112
015-20175	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.746989	-76.813256	2009-08-01	2556.928311	75	0	2556.928311	2204274.177	0	2019-12-01	2019-12-01	2556.928311	2556.928311	2556.928311	2556.928311	0	2556.928311	124
015-20176	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.746981	-76.813194	2009-08-01	9311.266691	75	0	9311.266691	3105485.532	0	2016-12-01	2016-12-01	9311.266691	9311.266691	9311.266691	9311.266691	0	9311.266691	88
015-20176	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.746981	-76.813194	2009-08-01	6888.423231	75	0	6888.423231	3200748.22	0	2017-12-01	2017-12-01	6888.423231	6888.423231	6888.423231	6888.423231	0	6888.423231	100
015-20176	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.746981	-76.813194	2009-08-01	5096.017135	75	0	5096.017135	3271223.026	0	2018-12-01	2018-12-01	5096.017135	5096.017135	5096.017135	5096.017135	0	5096.017135	112
015-20176	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.746981	-76.813194	2009-08-01	3770.00509	75	0	3770.00509	3323359.895	0	2019-12-01	2019-12-01	3770.00509	3770.00509	3770.00509	3770.00509	0	3770.00509	124
019-21587	PHILLIPS EXPLORATION INC	BUTLER	FORWARD	40.750759	-80.032435	2009-08-01	10384.4893	75	0	10384.4893	1206714.013	960.2727273	2016-12-01	2016-12-01	10384.4893	10384.4893	10384.4893	10384.4893	0	10384.4893	88
019-21587	PHILLIPS EXPLORATION INC	BUTLER	FORWARD	40.750759	-80.032435	2009-08-01	7682.387342	75	0	7682.387342	1312956.74	960.2727273	2017-12-01	2017-12-01	7682.387342	7682.387342	7682.387342	7682.387342	0	7682.387342	100
019-21587	PHILLIPS EXPLORATION INC	BUTLER	FORWARD	40.750759	-80.032435	2009-08-01	5683.387362	75	0	5683.387362	1391554.518	960.2727273	2018-12-01	2018-12-01	5683.387362	5683.387362	5683.387362	5683.387362	0	5683.387362	112
019-21587	PHILLIPS EXPLORATION INC	BUTLER	FORWARD	40.750759	-80.032435	2009-08-01	4204.538312	75	0	4204.538312	1449700.716	960.2727273	2019-12-01	2019-12-01	4204.538312	4204.538312	4204.538312	4204.538312	0	4204.538312	124
117-20279	EAST RESOURCES INC	TIOGA	RICHMOND	41.791781	-77.155424	2009-08-01	8151.369593	75	0	8151.369593	1882677.599	0	2016-12-01	2016-12-01	8151.369593	8151.369593	8151.369593	8151.369593	0	8151.369593	88
117-20279	EAST RESOURCES INC	TIOGA	RICHMOND	41.791781	-77.155424	2009-08-01	6030.337819	75	0	6030.337819	1966073.49	0	2017-12-01	2017-12-01	6030.337819	6030.337819	6030.337819	6030.337819	0	6030.337819	100
117-20279	EAST RESOURCES INC	TIOGA	RICHMOND	41.791781	-77.155424	2009-08-01	4461.210327	75	0	4461.210327	2027769.305	0	2018-12-01	2018-12-01	4461.210327	4461.210327	4461.210327	4461.210327	0	4461.210327	112
117-20279	EAST RESOURCES INC	TIOGA	RICHMOND	41.791781	-77.155424	2009-08-01	3300.378549	75	0	3300.378549	2073411.526	0	2019-12-01	2019-12-01	3300.378549	3300.378549	3300.378549	3300.378549	0	3300.378549	124
117-20293	EAST RESOURCES INC	TIOGA	RICHMOND	41.791781	-77.155424	2009-08-01	4086.409596	58	0	4086.409596	950217.2995	0	2016-12-01	2016-12-01	4086.409596	4086.409596	4086.409596	4086.409596	0	4086.409596	88
117-20293	EAST RESOURCES INC	TIOGA	RICHMOND	41.791781	-77.155424	2009-08-01	3023.103056	58	0	3023.103056	992024.9692	0	2017-12-01	2017-12-01	3023.103056	3023.103056	3023.103056	3023.103056	0	3023.103056	100
117-20293	EAST RESOURCES INC	TIOGA	RICHMOND	41.791781	-77.155424	2009-08-01	2236.474801	58	0	2236.474801	1022954.05	0	2018-12-01	2018-12-01	2236.474801	2236.474801	2236.474801	2236.474801	0	2236.474801	112
117-20293	EAST RESOURCES INC	TIOGA	RICHMOND	41.791781	-77.155424	2009-08-01	1654.5316	58	0	1654.5316	1045835.212	0	2019-12-01	2019-12-01	1654.5316	1654.5316	1654.5316	1654.5316	0	1654.5316	124
015-20092	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.7245	-76.805756	2009-09-01	10472.2171	74	0	10472.2171	3067480.846	0	2016-12-01	2016-12-01	10472.2171	10472.2171	10472.2171	10472.2171	0	10472.2171	87
015-20092	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.7245	-76.805756	2009-09-01	7747.287877	74	0	7747.287877	3174621.108	0	2017-12-01	2017-12-01	7747.287877	7747.287877	7747.287877	7747.287877	0	7747.287877	99
015-20092	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.7245	-76.805756	2009-09-01	5731.400416	74	0	5731.400416	3253882.877	0	2018-12-01	2018-12-01	5731.400416	5731.400416	5731.400416	5731.400416	0	5731.400416	111
015-20092	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.7245	-76.805756	2009-09-01	4240.058102	74	0	4240.058102	3312520.292	0	2019-12-01	2019-12-01	4240.058102	4240.058102	4240.058102	4240.058102	0	4240.058102	123
015-20100	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.724564	-76.819466	2009-09-01	9504.830571	74	0	9504.830571	1622668.699	0	2016-12-01	2016-12-01	9504.830571	9504.830571	9504.830571	9504.830571	0	9504.830571	87
015-20100	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.724564	-76.819466	2009-09-01	7031.620711	74	0	7031.620711	1719911.721	0	2017-12-01	2017-12-01	7031.620711	7031.620711	7031.620711	7031.620711	0	7031.620711	99
015-20100	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.724564	-76.819466	2009-09-01	5201.953833	74	0	5201.953833	1791851.566	0	2018-12-01	2018-12-01	5201.953833	5201.953833	5201.953833	5201.953833	0	5201.953833	111
015-20100	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.724564	-76.819466	2009-09-01	3848.376469	74	0	3848.376469	1845072.264	0	2019-12-01	2019-12-01	3848.376469	3848.376469	3848.376469	3848.376469	0	3848.376469	123
015-20177	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.729042	-76.836781	2009-09-01	13822.03374	74	0	13822.03374	5041292.863	0	2016-12-01	2016-12-01	13822.03374	13822.03374	13822.03374	13822.03374	0	13822.03374	87
015-20177	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.729042	-76.836781	2009-09-01	10225.46357	74	0	10225.46357	5182704.781	0	2017-12-01	2017-12-01	10225.46357	10225.46357	10225.46357	10225.46357	0	10225.46357	99
015-20177	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.729042	-76.836781	2009-09-01	7564.740988	74	0	7564.740988	5287320.531	0	2018-12-01	2018-12-01	7564.740988	7564.740988	7564.740988	7564.740988	0	7564.740988	111
015-20177	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.729042	-76.836781	2009-09-01	5596.353245	74	0	5596.353245	5364714.68	0	2019-12-01	2019-12-01	5596.353245	5596.353245	5596.353245	5596.353245	0	5596.353245	123
015-20178	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.729053	-76.836689	2009-09-01	8791.32078	74	0	8791.32078	3464242.064	0	2016-12-01	2016-12-01	8791.32078	8791.32078	8791.32078	8791.32078	0	8791.32078	87
015-20178	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.729053	-76.836689	2009-09-01	6503.770142	74	0	6503.770142	3554185.234	0	2017-12-01	2017-12-01	6503.770142	6503.770142	6503.770142	6503.770142	0	6503.770142	99
015-20178	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.729053	-76.836689	2009-09-01	4811.452923	74	0	4811.452923	3620724.691	0	2018-12-01	2018-12-01	4811.452923	4811.452923	4811.452923	4811.452923	0	4811.452923	111
015-20178	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.729053	-76.836689	2009-09-01	3559.486071	74	0	3559.486071	3669950.21	0	2019-12-01	2019-12-01	3559.486071	3559.486071	3559.486071	3559.486071	0	3559.486071	123
047-24138	EOG RESOURCES INC	ELK	FOX	41.291509	-78.618133	2009-09-01	5453.003983	74	0	5453.003983	1248357.444	0	2016-12-01	2016-12-01	5453.003983	5453.003983	5453.003983	5453.003983	0	5453.003983	87
047-24138	EOG RESOURCES INC	ELK	FOX	41.291509	-78.618133	2009-09-01	4034.101972	74	0	4034.101972	1304146.612	0	2017-12-01	2017-12-01	4034.101972	4034.101972	4034.101972	4034.101972	0	4034.101972	99
047-24138	EOG RESOURCES INC	ELK	FOX	41.291509	-78.618133	2009-09-01	2984.406167	74	0	2984.406167	1345419.127	0	2018-12-01	2018-12-01	2984.406167	2984.406167	2984.406167	2984.406167	0	2984.406167	111
047-24138	EOG RESOURCES INC	ELK	FOX	41.291509	-78.618133	2009-09-01	2207.847058	74	0	2207.847058	1375952.304	0	2019-12-01	2019-12-01	2207.847058	2207.847058	2207.847058	2207.847058	0	2207.847058	123
047-24255	EOG RESOURCES INC	ELK	FOX	41.291648	-78.617994	2009-09-01	4691.857134	74	0	4691.857134	939741.2751	0	2016-12-01	2016-12-01	4691.857134	4691.857134	4691.857134	4691.857134	0	4691.857134	87
047-24255	EOG RESOURCES INC	ELK	FOX	41.291648	-78.617994	2009-09-01	3471.009772	74	0	3471.009772	987743.2213	0	2017-12-01	2017-12-01	3471.009772	3471.009772	3471.009772	3471.009772	0	3471.009772	99
047-24255	EOG RESOURCES INC	ELK	FOX	41.291648	-78.617994	2009-09-01	2567.833695	74	0	2567.833695	1023254.794	0	2018-12-01	2018-12-01	2567.833695	2567.833695	2567.833695	2567.833695	0	2567.833695	111
047-24255	EOG RESOURCES INC	ELK	FOX	41.291648	-78.617994	2009-09-01	1899.669064	74	0	1899.669064	1049526.057	0	2019-12-01	2019-12-01	1899.669064	1899.669064	1899.669064	1899.669064	0	1899.669064	123
117-20272	EAST RESOURCES INC	TIOGA	RICHMOND	41.776148	-77.145002	2009-09-01	16694.09462	74	0	16694.09462	4800173.873	0	2016-12-01	2016-12-01	16694.09462	16694.09462	16694.09462	16694.09462	0	16694.09462	87
117-20272	EAST RESOURCES INC	TIOGA	RICHMOND	41.776148	-77.145002	2009-09-01	12350.19821	74	0	12350.19821	4970969.575	0	2017-12-01	2017-12-01	12350.19821	12350.19821	12350.19821	12350.19821	0	12350.19821	99
117-20272	EAST RESOURCES INC	TIOGA	RICHMOND	41.776148	-77.145002	2009-09-01	9136.607837	74	0	9136.607837	5097323.283	0	2018-12-01	2018-12-01	9136.607837	9136.607837	9136.607837	9136.607837	0	9136.607837	111
117-20272	EAST RESOURCES INC	TIOGA	RICHMOND	41.776148	-77.145002	2009-09-01	6759.211584	74	0	6759.211584	5190799.053	0	2019-12-01	2019-12-01	6759.211584	6759.211584	6759.211584	6759.211584	0	6759.211584	123
117-20282	EAST RESOURCES INC	TIOGA	RICHMOND	41.776148	-77.145002	2009-09-01	6192.226098	74	0	6192.226098	3225775.055	0	2016-12-01	2016-12-01	6192.226098	6192.226098	6192.226098	6192.226098	0	6192.226098	87
117-20282	EAST RESOURCES INC	TIOGA	RICHMOND	41.776148	-77.145002	2009-09-01	4580.974374	74	0	4580.974374	3289127.134	0	2017-12-01	2017-12-01	4580.974374	4580.974374	4580.974374	4580.974374	0	4580.974374	99
117-20282	EAST RESOURCES INC	TIOGA	RICHMOND	41.776148	-77.145002	2009-09-01	3388.979324	74	0	3388.979324	3335994.649	0	2018-12-01	2018-12-01	3388.979324	3388.979324	3388.979324	3388.979324	0	3388.979324	111
117-20282	EAST RESOURCES INC	TIOGA	RICHMOND	41.776148	-77.145002	2009-09-01	2507.148026	74	0	2507.148026	3370666.976	0	2019-12-01	2019-12-01	2507.148026	2507.148026	2507.148026	2507.148026	0	2507.148026	123
015-20180	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.773553	-76.803264	2009-10-01	12561.37954	73	0	12561.37954	3365044.998	0	2016-12-01	2016-12-01	12561.37954	12561.37954	12561.37954	12561.37954	0	12561.37954	86
015-20180	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.773553	-76.803264	2009-10-01	9292.838611	73	0	9292.838611	3493559.283	0	2017-12-01	2017-12-01	9292.838611	9292.838611	9292.838611	9292.838611	0	9292.838611	98
015-20180	TALISMAN ENERGY USA INC	BRADFORD	TROY	41.773553	-76.803264	2009-10-01	6874.79024	73	0	6874.79024	3588633.435	0	2018-12-01	2018-12-01	6874.79024	6874.79024	6874.79024	6874.79024	0	6874.79024	110
